language,year,month,pushes,pull_requests,issues,issue_comments,stars,forks,creates,contributors,active_repos
JavaScript,2016,1,13650,9407,4768,11779,10509,2873,3146,18657,7393
Java,2016,1,8235,4285,1871,5653,2728,1360,1732,7887,3797
Python,2016,1,7311,4562,2070,7016,2733,1157,1327,8162,4153
C#,2016,1,5262,1247,965,2638,601,383,346,2362,1094
Ruby,2016,1,5149,4341,1200,3500,1360,1030,1574,4510,2618
PHP,2016,1,4848,2919,1494,3987,1336,677,1034,4542,2593
HTML,2016,1,4829,2932,815,2038,971,800,907,3786,1757
C++,2016,1,3735,1918,1137,4383,1576,592,549,4890,1905
CSS,2016,1,2642,1704,338,819,826,392,511,2197,965
Shell,2016,1,2499,917,354,1352,857,338,259,2122,944
C,2016,1,2428,1115,602,2318,1303,488,291,3433,1497
Go,2016,1,1852,1338,744,3364,1600,367,368,2950,1031
TypeScript,2016,1,950,485,451,1285,656,168,188,1516,411
Objective-C,2016,1,660,513,245,681,1250,373,171,1829,570
Scala,2016,1,654,374,164,1046,262,79,126,787,348
Swift,2016,1,546,261,143,353,1327,164,157,1414,389
Rust,2016,1,431,237,94,660,149,43,42,380,202
CoffeeScript,2016,1,340,225,167,409,189,65,115,574,241
Lua,2016,1,332,153,81,251,133,51,36,370,165
PowerShell,2016,1,323,284,39,116,46,25,21,157,122
Perl,2016,1,302,179,88,319,64,43,53,363,208
R,2016,1,282,135,84,190,59,72,53,321,177
Haskell,2016,1,281,145,101,449,100,49,42,327,186
Jupyter Notebook,2016,1,263,117,47,106,79,46,29,265,143
TeX,2016,1,242,120,21,74,44,37,16,193,94
Makefile,2016,1,239,116,63,160,54,33,40,257,122
Clojure,2016,1,239,165,62,159,139,30,74,280,146
Groff,2016,1,166,6,4,15,3,4,1,22,11
Groovy,2016,1,156,74,42,112,39,64,24,226,105
Puppet,2016,1,150,152,10,74,1,20,80,106,59
SCSS,2016,1,141,11,14,25,11,9,16,62,39
Erlang,2016,1,138,92,19,105,45,16,55,153,83
Kotlin,2016,1,123,18,39,67,234,47,55,346,62
Matlab,2016,1,117,65,16,50,5,9,20,75,47
Emacs Lisp,2016,1,115,53,64,271,96,32,8,252,117
OCaml,2016,1,100,33,16,96,41,3,17,109,47
Elixir,2016,1,94,76,57,114,79,22,31,161,93
Visual Basic,2016,1,86,90,19,88,2,1,24,28,22
XSLT,2016,1,84,27,8,26,5,5,3,50,30
DM,2016,1,82,90,57,303,9,14,15,138,24
Dart,2016,1,80,50,69,182,10,4,15,95,37
Julia,2016,1,68,38,21,164,21,8,11,96,59
Nix,2016,1,67,27,12,145,1,1,3,63,13
VimL,2016,1,63,46,11,32,82,22,12,140,47
D,2016,1,59,28,23,133,13,4,13,56,23
Processing,2016,1,57,38,17,2,2,2,7,27,13
LLVM,2016,1,55,0,0,0,4,0,1,8,3
Perl 6,2016,1,51,6,2,2,1,2,6,14,6
PLpgSQL,2016,1,49,35,18,39,8,6,16,45,26
Smalltalk,2016,1,47,16,2,27,0,1,2,13,7
Vim script,2016,1,46,5,22,62,217,21,0,245,70
Batchfile,2016,1,42,37,1,14,12,8,0,32,15
Common Lisp,2016,1,41,5,7,12,9,2,6,38,27
Eagle,2016,1,39,13,3,21,4,1,5,21,14
Pascal,2016,1,38,14,13,32,10,6,1,49,31
Fortran,2016,1,36,9,42,67,5,0,1,42,23
CMake,2016,1,35,29,5,57,4,2,7,37,20
Apex,2016,1,34,17,2,7,1,4,15,17,11
SourcePawn,2016,1,33,7,3,3,4,4,9,21,16
Mathematica,2016,1,33,20,0,0,1,0,10,9,5
FreeMarker,2016,1,31,9,8,7,0,0,10,6,4
F#,2016,1,30,27,24,89,7,8,8,62,29
Vala,2016,1,29,19,28,7,7,0,11,14,10
XC,2016,1,28,0,0,0,0,0,1,4,2
ColdFusion,2016,1,28,15,16,16,8,5,7,19,15
Elm,2016,1,27,17,3,10,20,8,6,40,20
Vim Script,2016,1,26,21,4,58,36,16,13,77,9
Racket,2016,1,23,10,10,34,0,1,1,23,15
XQuery,2016,1,22,3,1,3,1,0,0,7,5
SaltStack,2016,1,21,28,5,14,4,11,7,26,22
ASP,2016,1,21,16,0,1,0,2,3,8,7
Modelica,2016,1,21,1,6,4,0,0,2,9,9
Haxe,2016,1,21,5,14,36,10,5,0,40,17
M4,2016,1,20,0,0,0,0,1,1,3,5
GCC Machine Description,2016,1,19,48,0,49,7,33,2,57,8
VHDL,2016,1,19,3,2,3,1,0,1,10,6
ANTLR,2016,1,19,4,1,3,1,2,0,7,3
PostScript,2016,1,19,5,11,25,1,1,1,22,8
M,2016,1,19,6,1,25,2,0,0,9,2
Smarty,2016,1,18,21,12,13,5,3,0,22,11
Vue,2016,1,18,3,1,5,0,1,0,9,7
Assembly,2016,1,17,8,0,6,14,3,1,27,20
Liquid,2016,1,17,13,3,3,0,0,7,12,7
Gosu,2016,1,17,4,13,6,0,0,9,8,4
Scheme,2016,1,16,8,0,3,3,4,4,18,14
Arduino,2016,1,16,16,2,4,1,7,6,20,11
FORTRAN,2016,1,15,18,3,8,1,3,6,15,12
Chapel,2016,1,15,15,0,10,2,0,1,9,2
WebAssembly,2016,1,14,8,6,22,3,1,3,8,1
ApacheConf,2016,1,13,15,12,4,22,11,6,41,9
Dockerfile,2016,1,13,3,5,11,10,12,2,37,24
PureScript,2016,1,13,17,3,28,12,5,11,21,18
SQF,2016,1,13,13,6,43,1,1,1,12,4
Ren'Py,2016,1,13,0,9,4,0,0,0,6,3
Haml,2016,1,12,0,0,0,0,0,0,2,2
QML,2016,1,12,5,9,8,10,1,5,24,8
Logos,2016,1,12,6,0,1,0,0,1,7,4
Eiffel,2016,1,11,7,0,1,0,0,7,7,6
HCL,2016,1,11,15,1,8,4,1,3,15,4
Web Ontology Language,2016,1,11,3,7,4,0,0,0,7,6
Forth,2016,1,11,0,1,3,1,0,5,5,4
Gherkin,2016,1,11,3,4,7,1,1,5,7,4
MATLAB,2016,1,11,0,0,0,2,0,3,9,7
PureBasic,2016,1,11,2,0,0,0,1,1,2,1
GAP,2016,1,10,9,8,33,1,0,4,11,6
ActionScript,2016,1,10,2,6,6,3,1,0,17,11
RAML,2016,1,10,5,0,6,4,1,2,11,6
BitBake,2016,1,9,4,3,1,0,1,3,9,8
Starlark,2016,1,9,6,4,21,3,1,1,14,2
LilyPond,2016,1,9,8,0,0,0,0,0,1,1
Tcl,2016,1,9,6,4,2,0,0,7,9,6
GLSL,2016,1,8,6,0,1,2,0,1,7,4
Markdown,2016,1,8,17,4,48,48,11,0,74,3
Turing,2016,1,8,10,0,0,0,0,4,1,1
Max,2016,1,8,4,0,0,0,0,2,1,1
OpenEdge ABL,2016,1,7,0,1,7,0,0,0,8,4
JetBrains MPS,2016,1,7,0,0,0,0,0,2,4,1
Standard ML,2016,1,7,0,0,1,0,1,0,5,3
Protocol Buffer,2016,1,7,4,3,7,0,0,0,9,3
AutoHotkey,2016,1,7,13,0,5,0,0,0,2,1
Verilog,2016,1,7,6,0,0,2,1,1,8,8
1C Enterprise,2016,1,7,0,5,10,0,0,0,9,3
xBase,2016,1,7,1,0,3,0,0,2,1,1
Crystal,2016,1,7,5,2,24,24,0,2,33,6
PLSQL,2016,1,6,6,3,10,1,1,1,11,6
AutoIt,2016,1,6,12,0,0,0,0,2,4,3
JSON,2016,1,6,0,0,0,0,0,0,1,1
Hy,2016,1,6,0,0,0,0,0,0,1,1
QMake,2016,1,6,2,0,0,0,1,0,2,1
AGS Script,2016,1,6,12,5,35,0,0,0,7,1
Charity,2016,1,6,0,0,0,0,0,0,1,1
LSL,2016,1,6,7,0,0,0,0,1,3,2
KiCad,2016,1,5,5,0,4,3,1,1,7,5
API Blueprint,2016,1,5,1,1,0,0,0,1,5,4
Perl6,2016,1,5,10,0,3,1,3,0,11,7
Roff,2016,1,5,0,0,2,2,0,0,9,7
Squirrel,2016,1,5,3,0,0,0,0,4,1,1
Bro,2016,1,5,4,0,3,2,0,0,5,1
Raku,2016,1,5,0,0,0,0,0,1,2,3
Cuda,2016,1,5,6,2,11,591,160,0,706,7
LookML,2016,1,4,0,0,0,0,0,0,1,1
Awk,2016,1,4,12,1,11,171,4,0,172,6
ABAP,2016,1,4,0,1,1,0,0,0,1,2
Nemerle,2016,1,4,0,0,0,4,0,0,5,1
Objective-C++,2016,1,4,9,4,11,19,5,1,37,9
TSQL,2016,1,4,1,0,0,2,0,0,5,4
Prolog,2016,1,4,1,0,0,0,0,0,3,2
Nim,2016,1,4,1,4,13,3,0,1,12,3
Cucumber,2016,1,4,3,2,0,0,0,3,2,2
Nginx,2016,1,4,5,1,18,10,2,0,21,8
Rebol,2016,1,3,4,0,0,0,2,2,3,1
Twig,2016,1,3,0,3,0,2,0,0,6,3
Mercury,2016,1,3,0,0,0,0,0,0,2,2
LoomScript,2016,1,3,0,0,0,0,0,0,1,1
NSIS,2016,1,3,0,1,2,6,0,1,9,3
Handlebars,2016,1,3,0,4,19,0,0,0,10,4
Fluent,2016,1,3,0,0,0,0,0,0,1,1
Hack,2016,1,3,0,2,0,3,0,0,5,5
Less,2016,1,3,0,1,7,2,0,1,7,4
SMT,2016,1,3,0,0,0,0,0,0,3,3
Gnuplot,2016,1,3,8,1,2,0,1,0,5,1
Bluespec,2016,1,3,0,0,0,0,0,0,1,1
Svelte,2016,1,2,0,0,0,0,0,0,1,1
LiveScript,2016,1,2,2,0,5,2,0,1,9,4
Red,2016,1,2,3,7,12,0,0,0,4,1
NetLogo,2016,1,2,2,0,0,0,0,0,1,1
Inform 7,2016,1,2,2,0,0,0,0,0,2,1
Dylan,2016,1,2,2,0,1,0,0,0,3,1
Objective-J,2016,1,2,2,0,5,0,0,0,3,2
GDScript,2016,1,2,0,0,0,0,0,0,1,1
Nimrod,2016,1,2,0,2,7,0,0,0,2,1
SQLPL,2016,1,2,0,0,0,0,0,0,2,2
ReScript,2016,1,2,0,1,0,0,0,0,2,2
DIGITAL Command Language,2016,1,2,2,0,0,1,4,1,7,3
Thrift,2016,1,2,1,0,0,0,0,1,2,2
ooc,2016,1,2,3,4,12,0,0,0,6,1
Pug,2016,1,2,0,0,0,0,0,0,1,1
Inno Setup,2016,1,2,0,2,8,7,0,0,13,3
IDL,2016,1,2,0,0,0,7,1,0,8,3
